LMG35	WINRATE	NMATCHES	event	PWINRATE	WML20	FOUNDED	HWINRATE	HHWINRATE	ID	WINRATE6	DEATH_AVG	DEATH_L25	KILL_AVG	TOP500B	LMG35V2	LMAVGV2	COUNTERS3	WINRATE3	WMG35	WMAVG	DPC	HHHWR_SUM	HHHWR_AVG
0.2549	3	21	win	50	0.0417	-2542628	5	13	3049310127	3	2	-2	1	6	26	239	-0.5761	3	35	300	0	18	9.0
-0.2549	-3	-21	lose	50	-0.0417	2542628	-5	-13	3049310127	-3	-2	2	-1	-6	-26	-239	0.5761	-3	-35	-300	0	-18	-9.0
-0.1174	6	56	win	50	-0.0547	16271362	7	22	3049293379	6	-2	11	2	4	-11	-142	0.6131	37	4	142	0	29	14.5
0.1174	-6	-56	lose	50	0.0547	-16271362	-7	-22	3049293379	-6	2	-11	-2	-4	11	142	-0.6131	-37	-4	-142	0	-29	-14.5
0.0981	8	-61	win	78	-0.0436	131317281	-17	-6	3049320069	4	-6	21	0	-5	9	88	-0.2903	12	6	233	0	-23	-11.5
-0.0981	-8	61	lose	22	0.0436	-131317281	17	6	3049320069	-4	6	-21	0	5	-9	-88	0.2903	-12	-6	-233	0	23	11.5
-0.069	11	94	win	50	-0.049	-3457255	-4	4	3049332545	27	-1	8	0	-6	-6	-107	0.5109	24	17	190	0	0	0.0
0.069	-11	-94	lose	50	0.049	3457255	4	-4	3049332545	-27	1	-8	0	6	6	107	-0.5109	-24	-17	-190	0	0	0.0
-0.1496	0	-167	win	50	0.0033	117977117	-6	-2	3049397146	3	-1	3	1	-2	-16	-237	0.0539	0	-17	-14	0	-8	-4.0
0.1496	0	167	lose	50	-0.0033	-117977117	6	2	3049397146	-3	1	-3	-1	2	16	237	-0.0539	0	17	14	0	8	4.0
0.1008	-25	-321	win	50	-0.0844	41903909	11	-9	3049367872	-27	3	0	-7	-2	6	61	-0.3276	-14	13	190	0	2	1.0
-0.1008	25	321	lose	50	0.0844	-41903909	-11	9	3049367872	27	-3	0	7	2	-6	-61	0.3276	14	-13	-190	0	-2	-1.0
0.2667	-11	45	win	50	-0.1833	8879930	-11	12	3049389443	-11	7	-20	-2	7	4	-380	0.1483	-6	22	344	0	1	0.5
-0.2667	11	-45	lose	50	0.1833	-8879930	11	-12	3049389443	11	-7	20	2	-7	-4	380	-0.1483	6	-22	-344	0	-1	-0.5
-0.1178	4	-150	win	43	0.0014	31640544	6	24	3049405700	9	2	-9	1	2	-13	9	-0.2273	6	-1	-26	0	30	15.0
0.1178	-4	150	lose	57	-0.0014	-31640544	-6	-24	3049405700	-9	-2	9	-1	-2	13	-9	0.2273	-6	1	26	0	-30	-15.0
-0.2445	7	-115	win	67	-0.0037	29737312	-7	20	3049450575	1	-6	25	-2	3	-26	-309	0.4787	-2	-2	98	0	13	6.5
0.2445	-7	115	lose	33	0.0037	-29737312	7	-20	3049450575	-1	6	-25	2	-3	26	309	-0.4787	2	2	-98	0	-13	-6.5
0.1079	-2	-71	win	64	0.0035	-117180438	-13	-11	3049446853	-5	-2	3	0	1	11	176	-0.2019	-8	13	199	0	-24	-12.0
-0.1079	2	71	lose	36	-0.0035	117180438	13	11	3049446853	5	2	-3	0	-1	-11	-176	0.2019	8	-13	-199	0	24	12.0
-0.0211	25	-20	win	50	0.4657	75587565	47	9	3049455228	25	-5	3	6	7	20	96	-0.18	25	-29	-647	0	56	28.0
