WINRATE	NMATCHES	event	PWINRATE	WM_L20	FOUNDED	HWINRATE	HHWINRATE	ID	WINRATE6	DEATH_AVG	DEATH_L25	KILL_AVG	TOP500	LM_G35	LM_AVG	COUNTERS	WINRATE3	WM_G35	WM_AVG	DPC	HWR_AVG
-27	2	lose	25	0	-54237270	-34	-46	2343759316	-27	13	-52	-1	-1	67	236	0.1302	-27	35	532	0	-40.0
-7	3	win	50	8	-54370872	-5	-17	2343927095	-7	3	-13	0	1	0	120	0.1967	-7	22	104	0	-11.0
7	-3	lose	50	-8	54370872	5	17	2343927095	7	-3	13	0	-1	0	-120	-0.1967	7	-22	-104	0	11.0
-1	3	win	57	8	-54370872	9	7	2344066679	-1	2	-13	0	1	-10	81	0.1859	-1	26	135	0	8.0
1	-3	lose	43	-8	54370872	-9	-7	2344066679	1	-2	13	0	-1	10	-81	-0.1859	1	-26	-135	0	-8.0
7	-2	win	60	0	107762468	12	-20	2344839178	7	-2	1	2	-8	0	57	0.1099	7	-36	-331	0	-4.0
-7	2	lose	40	0	-107762468	-12	20	2344839178	-7	2	-1	-2	8	0	-57	-0.1099	-7	36	331	0	4.0
6	-2	win	57	0	107762468	13	-12	2345075578	6	-1	-5	2	-8	-13	-284	0.0735	6	-25	-73	0	0.5
-6	2	lose	43	0	-107762468	-13	12	2345075578	-6	1	5	-2	8	13	284	-0.0735	-6	25	73	0	-0.5
-10	2	win	38	0	-107762468	-5	4	2345153510	-10	1	0	-2	8	17	236	-0.0212	-10	21	77	0	-0.5
10	-2	lose	62	0	107762468	5	-4	2345153510	10	-1	0	2	-8	-17	-236	0.0212	10	-21	-77	0	0.5
8	-4	win	50	0	10588499	-2	25	2346425010	8	-4	13	-2	-5	-25	-272	0.0426	8	-38	-376	0	11.5
-8	4	lose	50	0	-10588499	2	-25	2346425010	-8	4	-13	2	5	25	272	-0.0426	-8	38	376	0	-11.5
16	-4	win	67	0	10588499	21	25	2346585013	16	-4	21	0	-5	-40	-404	0.0557	16	-23	-216	0	23.0
-16	4	lose	33	0	-10588499	-21	-25	2346585013	-16	4	-21	0	5	40	404	-0.0557	-16	23	216	0	-23.0
-3	11	win	50	-75	-100161616	-5	12	2346784326	-3	6	19	-4	-2	60	69	0.1036	-3	22	171	0	3.5
3	-11	lose	50	75	100161616	5	-12	2346784326	3	-6	-19	4	2	-60	-69	-0.1036	3	-22	-171	0	-3.5
-20	-8	win	50	0	96660526	-33	-25	2347508530	-20	7	-56	-4	-2	-67	-517	0.5204	-20	-57	-513	0	-29.0
20	8	lose	50	0	-96660526	33	25	2347508530	20	-7	56	4	2	67	517	-0.5204	20	57	513	0	29.0
-3	8	win	33	0	-96660526	13	-10	2347605102	-3	-2	10	9	2	50	388	0.3403	-3	57	513	0	1.5
3	-8	lose	67	0	96660526	-13	10	2347605102	3	2	-10	-9	-2	-50	-388	-0.3403	3	-57	-513	0	-1.5
-2	-1	win	75	-33	66505643	-16	-3	2348057016	-2	2	-3	3	2	33	557	0.3058	-2	-8	156	0	-9.5
2	1	lose	25	33	-66505643	16	3	2348057016	2	-2	3	-3	-2	-33	-557	-0.3058	2	8	-156	0	9.5
-16	-4	win	50	0	74494193	-37	14	2348598918	-16	-1	11	-4	3	-21	-30	0.1859	-16	-18	-240	0	-11.5
16	4	lose	50	0	-74494193	37	-14	2348598918	16	1	-11	4	-3	21	30	-0.1859	16	18	240	0	11.5
10	4	win	33	0	-74494193	34	-22	2348709243	10	2	-11	2	-3	12	-46	0.0102	10	25	334	0	6.0
-10	-4	lose	67	0	74494193	-34	22	2348709243	-10	-2	11	-2	3	-12	46	-0.0102	-10	-25	-334	0	-6.0
31	-8	win	67	0	-32914556	0	42	2349189263	31	-10	0	6	3	-71	-161	-0.014	31	0	-44	0	21.0
-31	8	lose	33	0	32914556	0	-42	2349189263	-31	10	0	-6	-3	71	161	0.014	-31	0	44	0	-21.0
44	15	win	50	0	54237319	45	33	2350740718	44	-13	94	0	-4	0	0	0.5686	44	44	120	0	39.0
-44	-15	lose	50	0	-54237319	-45	-33	2350740718	-44	13	-94	0	4	0	0	-0.5686	-44	-44	-120	0	-39.0
61	15	win	67	0	54237319	46	67	2350829159	61	-13	44	9	-4	0	172	0.5268	61	41	92	0	56.5
-61	-15	lose	33	0	-54237319	-46	-67	2350829159	-61	13	-44	-9	4	0	-172	-0.5268	-61	-41	-92	0	-56.5
1	-5	win	67	0	-109296219	7	-22	2351035593	1	-4	13	-1	2	17	-118	0.4544	1	-31	-961	0	-7.5
-1	5	lose	33	0	109296219	-7	22	2351035593	-1	4	-13	1	-2	-17	118	-0.4544	-1	31	961	0	7.5
-15	-1	win	50	0	-22013102	-27	-8	2351377434	-15	8	8	-1	2	-33	76	0.1262	-15	-50	-18	0	-17.5
15	1	lose	50	0	22013102	27	8	2351377434	15	-8	-8	1	-2	33	-76	-0.1262	15	50	18	0	17.5
-10	-1	win	50	0	-22013102	-24	-17	2351701644	-10	2	7	2	2	-25	123	0.0371	-10	-17	-40	0	-20.5
10	1	lose	50	0	22013102	24	17	2351701644	10	-2	-7	-2	-2	25	-123	-0.0371	10	17	40	0	20.5
-21	4	win	50	0	10455544	-50	7	2352477929	-21	2	10	-3	5	43	63	0.4571	-21	0	197	0	-21.5
21	-4	lose	50	0	-10455544	50	-7	2352477929	21	-2	-10	3	-5	-43	-63	-0.4571	21	0	-197	0	21.5
